"12","34","NLP","NETWORK","NLP_CRIME","33.8001899","-117.2206042","33.8004612","-117.2202714","43.078","141.33","7.644","25.08","04/05/2026 12:57:19","04/05/2026 12:57:25","5.806","","","1775422639938","1775422645744","Fix,NLP,33.8004612000,-117.2202714000,405.5,,22.478,,1775422645744,,,3157491000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","1.8","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"20","53","NLP","NETWORK","NLP_CRIME","33.8004612","-117.2202714","33.8001485","-117.2206398","48.66","159.64","43.999","144.36","04/05/2026 12:57:25","04/05/2026 12:57:32","7.235","","","1775422645744","1775422652979","Fix,NLP,33.8001485000,-117.2206398000,405.5,,23.839,,1775422652979,,,3164726000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","31.6","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"28","72","NLP","NETWORK","NLP_CRIME","33.8001485","-117.2206398","33.8002452","-117.2201339","47.966","157.37","31.796","104.32","04/05/2026 12:57:32","04/05/2026 12:57:40","7.245","","","1775422652979","1775422660224","Fix,NLP,33.8002452000,-117.2201339000,405.5,,28.456,,1775422660224,,,3171971000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","22","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"37","92","NLP","NETWORK","NLP_CRIME","33.8002452","-117.2201339","33.8001837","-117.2201179","6.996","22.95","38.135","125.12","04/05/2026 12:57:40","04/05/2026 12:57:47","7.259","","","1775422660224","1775422667483","Fix,NLP,33.8001837000,-117.2201179000,405.5,,44.659,,1775422667483,,,3179230000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","27.3","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"45","108","NLP","NETWORK","NLP_CRIME","33.8001837","-117.2201179","33.8001987","-117.2206651","50.589","165.98","41.269","135.4","04/05/2026 12:57:47","04/05/2026 12:57:54","7.262","","","1775422667483","1775422674745","Fix,NLP,33.8001987000,-117.2206651000,405.5,,36.978,,1775422674745,,,3186492000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","29.3","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"53","127","NLP","NETWORK","NLP_CRIME","33.8001987","-117.2206651","33.8002494","-117.2201828","44.92","147.38","28.722","94.23","04/05/2026 12:57:54","04/05/2026 12:58:01","7.183","","","1775422674745","1775422681928","Fix,NLP,33.8002494000,-117.2201828000,405.5,,27.426,,1775422681928,,,3193675000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","18","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"61","142","NLP","NETWORK","NLP_CRIME","33.8002494","-117.2201828","33.8004822","-117.2202424","26.465","86.83","10.488","34.41","04/05/2026 12:58:01","04/05/2026 12:58:09","7.131","","","1775422681928","1775422689059","Fix,NLP,33.8004822000,-117.2202424000,405.5,,24.617,,1775422689059,,,3200806000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","3.4","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"69","159","NLP","NETWORK","NLP_CRIME","33.8004822","-117.2202424","33.8004072","-117.2201639","11.053","36.26","18.704","61.37","04/05/2026 12:58:11","04/05/2026 12:58:16","4.557","","","1775422691707","1775422696264","Fix,NLP,33.8004072000,-117.2201639000,405.5,,24.391,,1775422696264,,,3208011000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","13.1","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"77","175","NLP","NETWORK","NLP_CRIME","33.8004072","-117.2201639","33.8001449","-117.2202797","31.067","101.93","36.25","118.93","04/05/2026 12:58:16","04/05/2026 12:58:23","6.82","","","1775422696264","1775422703084","Fix,NLP,33.8001449000,-117.2202797000,405.5,,43.623,,1775422703084,,,3214831000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","23.2","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"84","189","NLP","NETWORK","NLP_CRIME","33.8001449","-117.2202797","33.8001684","-117.2206655","35.744","117.27","43.774","143.62","04/05/2026 12:58:23","04/05/2026 12:58:28","5.744","","","1775422703084","1775422708828","Fix,NLP,33.8001684000,-117.2206655000,405.5,,40.152,,1775422708828,,,3220575000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","31.6","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"92","209","NLP","NETWORK","NLP_CRIME","33.8001684","-117.2206655","33.8002018","-117.2206036","6.82","22.37","37.262","122.25","04/05/2026 12:58:28","04/05/2026 12:58:36","7.175","","","1775422708828","1775422716003","Fix,NLP,33.8002018000,-117.2206036000,405.5,,49.921,,1775422716003,,,3227750000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","25","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
